1,Golden State Warriors,$169450087,$164466655,$115458759,$82925105,,
2,Brooklyn Nets,$166391878,$166538096,$156529709,$19928571,,
3,Philadelphia 76ers,$143845563,$126210533,$125474415,$81579437,$38610000,
4,Los Angeles Clippers,$137804099,$146098458,$82059315,$77520080,$63551399,
5,Los Angeles Lakers,$137621032,$121895517,$111625709,$53600080,$43219440,
6,Milwaukee Bucks,$136471388,$145997848,$134252169,$120690050,$85701096,$51935360
7,Miami Heat,$133404929,$112272515,$76567410,$36979645,$34848402,$37096686
8,Utah Jazz,$133392069,$134126952,$123094357,$101747888,$78675989,$83751859
9,Houston Rockets,$131368970,$99997611,$96118978,$22848583,,
10,Portland Trail Blazers,$130272702,$131554172,$87599310,$89396898,$54250000,
11,Washington Wizards,$130258890,$120372496,$113435807,$23263188,$16000000,
12,New Orleans Pelicans,$130231185,$92936151,$98304171,$39555516,$36016200,
13,Boston Celtics,$129912299,$134060660,$112682413,$70873439,$34848402,$37096686
14,Minnesota Timberwolves,$129527263,$131134678,$113022930,$69930322,,
15,Chicago Bulls,$129413786,$99304124,$37189355,$9835881,,
16,San Antonio Spurs,$127938103,$57677902,$58922923,$41209328,$18821429,
17,Cleveland Cavaliers,$127858054,$94389952,$67852361,$15570795,,
18,Memphis Grizzlies,$127819294,$98411160,$45236285,$17870241,,
19,Denver Nuggets,$127422184,$126888013,$78026637,$50242948,$38610000,
20,Phoenix Suns,$127224764,$125461054,$68315810,$41924454,,
21,Dallas Mavericks,$125848429,$90985882,$63021299,$42712220,,
22,Toronto Raptors,$125768222,$101260000,$74392863,$81299956,$19928571,
23,Indiana Pacers,$125707495,$120006457,$92238313,$21312500,,
24,Orlando Magic,$120157711,$100797769,$54859840,$49426541,$17400000,
25,Detroit Pistons,$117208239,$102679777,$51896600,$20104318,$2866667,
26,Atlanta Hawks,$115748809,$93496087,$79842392,$26109063,,
27,Charlotte Hornets,$106152172,$81582958,$57289135,$44331316,,
28,Sacramento Kings,$105039946,$103285334,$78918056,$58907416,$34848402,$37096686
29,New York Knicks,$96396008,$51521014,$20411893,$10974560,,
30,Oklahoma City Thunder,$93699966,$55507673,$52333466,$12418032
